wb1_spectrum,wb1_wintel_fit,wb1_wintel_base,wb1_frequency
-65.29583286,-65.50300337,-59.29079662,2349.370132
-65.87497301,-65.96903451,-59.49213657,2349.370756
-66.30670558,-66.46683037,-59.69351063,2349.37138
-66.75756471,-67.00131255,-59.89491811,2349.372004
-67.44656811,-67.57838445,-60.09635834,2349.372627
-68.22798749,-68.20515494,-60.29783063,2349.37325
-68.82580712,-68.89024895,-60.49933431,2349.373872
-69.4739621,-69.64420083,-60.7008687,2349.374495
-70.34032785,-70.47990104,-60.90243313,2349.375117
-71.30736432,-71.41319029,-61.10402691,2349.375739
-72.31010225,-72.46357163,-61.30564937,2349.37636
-73.53243582,-73.65508934,-61.50729982,2349.376982
-75.05442617,-75.01725364,-61.7089776,2349.377603
-76.62561781,-76.58599253,-61.91068202,2349.378225
-78.31976904,-78.40426856,-62.1124124,2349.378847
-80.46865052,-80.52190301,-62.31416807,2349.379468
-83.00036861,-82.99357985,-62.51594835,2349.38009
-85.84824205,-85.87380224,-62.71775256,2349.380712
-89.050633,-89.20693077,-62.91958002,2349.381335
-92.87782142,-93.01134196,-63.12143006,2349.381958
-97.21130765,-97.25802244,-63.32330199,2349.382581
-101.720695,-101.8470579,-63.52519514,2349.383204
-106.3542742,-106.5899598,-63.72710883,2349.383828
-111.0138062,-111.2075452,-63.92904238,2349.384453
-115.2417801,-115.3518693,-64.13099511,2349.385078
-118.5431298,-118.653425,-64.33296635,2349.385704
-120.7563808,-120.7848201,-64.53495542,2349.38633
-121.6972027,-121.5248367,-64.73696164,2349.386957
-120.9376033,-120.8051238,-64.93898433,2349.387585
-118.8016546,-118.7256984,-65.14102281,2349.388213
-115.6001142,-115.5347093,-65.34307641,2349.388842
-111.5696652,-111.5779612,-65.54514445,2349.389472
-107.1116818,-107.2320309,-65.74722624,2349.390102
-102.8488134,-102.840335,-65.94932112,2349.390733
-98.86759832,-98.66838485,-66.1514284,2349.391364
-95.10661137,-94.88604528,-66.3535474,2349.391996
-91.74724955,-91.57428832,-66.55567745,2349.392629
-88.94549142,-88.74627365,-66.75781787,2349.393262
-86.62810207,-86.37222035,-66.95996798,2349.393895
-84.57696889,-84.4008755,-67.1621271,2349.394529
-82.92174687,-82.77443194,-67.36429456,2349.395164
-81.64818377,-81.43721801,-67.56646967,2349.395799
-80.57080426,-80.3397851,-67.76865177,2349.396434
-79.53625778,-79.44015085,-67.97084016,2349.39707
-78.7356246,-78.70352588,-68.17303417,2349.397706
-78.21754988,-78.10146304,-68.37523313,2349.398343
-77.73048767,-77.61088844,-68.57743636,2349.39898
-77.25895352,-77.21309969,-68.77964317,2349.399617
-76.9690345,-76.89292383,-68.9818529,2349.400255
-76.84642385,-76.63800723,-69.18406485,2349.400894
-76.58507472,-76.43824078,-69.38627836,2349.401533
-76.32686611,-76.28532153,-69.58849275,2349.402172
-76.24537648,-76.1723852,-69.79070733,2349.402812
-76.20305595,-76.09374761,-69.99292143,2349.403453
-76.06913729,-76.0446847,-70.19513437,2349.404094
-76.04235574,-76.02125853,-70.39734548,2349.404735
-76.14549088,-76.0201843,-70.59955407,2349.405377
-76.16173865,-76.0387096,-70.80175947,2349.406019
-76.12313658,-76.07450819,-71.003961,2349.406662
-76.2331852,-76.125593,-71.20615798,2349.407306
-76.383766,-76.19025728,-71.40834974,2349.40795
-76.37288327,-76.26702217,-71.61053559,2349.408595
-76.38940365,-76.35459556,-71.81271485,2349.40924
-76.59720057,-76.45184522,-72.01488686,2349.409886
-76.76651537,-76.55777941,-72.21705092,2349.410532
-76.76685341,-76.67152889,-72.41920637,2349.41118
-76.85669592,-76.79232713,-72.62135252,2349.411827
-77.03616285,-76.91949866,-72.8234887,2349.412475
-77.12164355,-77.05244975,-73.02561423,2349.413124
-77.2178434,-77.19065292,-73.22772843,2349.413774
-77.48635681,-77.33364041,-73.42983062,2349.414424
-77.74153397,-77.48099757,-73.63192012,2349.415075
-77.78935038,-77.63235438,-73.83399626,2349.415726
-77.90430604,-77.78737902,-74.03605836,2349.416379
-78.1172281,-77.94577534,-74.23810574,2349.417031
-78.2416271,-78.10727717,-74.44013772,2349.417685
-78.34724848,-78.2716443,-74.64215363,2349.418339
-78.59243708,-78.43866068,-74.84415278,2349.418994
-78.84381945,-78.60813099,-75.0461345,2349.41965
-78.89769878,-78.77987822,-75.24809811,2349.420306
-79.03035252,-78.95374186,-75.45004293,2349.420963
-79.3180034,-79.12957545,-75.65196828,2349.421621
-79.47943422,-79.30724243,-75.85387349,2349.42228
-79.60882749,-79.48661638,-76.05575788,2349.42294
-79.85892313,-79.66758338,-76.25762076,2349.423601
-80.0980379,-79.85004043,-76.45946147,2349.424264
-80.18467447,-80.03389509,-76.66127932,2349.424928
-80.33679281,-80.21906377,-76.86307363,2349.425595
-80.63218591,-80.40547086,-77.06484374,2349.426264
-80.77950626,-80.59304832,-77.26658895,2349.426936
-80.93199535,-80.78173482,-77.46830859,2349.42761
-81.26245745,-80.97147485,-77.67000199,2349.428288
-81.43712639,-81.16221858,-77.87166845,2349.428969
-81.51474491,-81.35392121,-78.07330732,2349.429654
-81.71051412,-81.54654262,-78.27491791,2349.430342
-81.95266035,-81.74004709,-78.47649953,2349.431034
-82.07788809,-81.9344029,-78.67805152,2349.431731
-82.29820343,-82.12958226,-78.87957319,2349.432432
-82.57631284,-82.32556106,-79.08106387,2349.433138
-82.71170361,-82.5223187,-79.28252288,2349.433849
-82.90402699,-82.71983808,-79.48394953,2349.434565
-83.17377261,-82.91810578,-79.68534316,2349.435287
-83.32921684,-83.11711266,-79.88670308,2349.436015
-83.47649357,-83.31685431,-80.08802862,2349.43675
-83.7734133,-83.5173313,-80.2893191,2349.437492
-83.95313103,-83.71854967,-80.49057383,2349.438241
-84.07211048,-83.92052162,-80.69179215,2349.438999
-84.34504022,-84.12326661,-80.89297337,2349.439765
-84.49258956,-84.32681293,-81.09411682,2349.440539
-84.63379246,-84.53119977,-81.29522182,2349.441324
-84.94926082,-84.73648065,-81.49628768,2349.442118
-85.15776654,-84.94272796,-81.69731373,2349.442922
-85.31861941,-85.15003997,-81.8982993,2349.443738
-85.51153164,-85.35855099,-82.09924371,2349.444564
-85.67729156,-85.5684469,-82.30014627,2349.445403
-85.84024902,-85.77998808,-82.50100631,2349.446253
-86.10919861,-85.9935441,-82.70182315,2349.447117
-86.26637665,-86.20963626,-82.90259611,2349.447994
-86.42477601,-86.42898052,-83.10332452,2349.448885
-86.71662513,-86.65249159,-83.30400769,2349.449791
-86.85185234,-86.88115219,-83.50464496,2349.450713
-87.14057186,-87.11557424,-83.70523563,2349.451652
-87.40823472,-87.35510754,-83.90577904,2349.452607
-87.53157597,-87.59670713,-84.1062745,2349.453581
-87.80128888,-87.83448808,-84.30672134,2349.454573
-87.99887916,-88.06127749,-84.50711887,2349.455584
-88.20723221,-88.27226239,-84.70746643,2349.456615
-88.43365409,-88.46831899,-84.90776333,2349.457667
-88.50645281,-88.65584713,-85.10800889,2349.45874
-88.74544762,-88.84296781,-85.30820243,2349.459836
-88.88485127,-89.03547761,-85.50834329,2349.460953
-89.05403522,-89.23551018,-85.70843078,2349.462094
-89.20301305,-89.44265609,-85.90846421,2349.463256
-89.40546675,-89.65559521,-86.10844292,2349.464442
-89.61119181,-89.87305875,-86.30836623,2349.465649
-89.80239203,-90.09411719,-86.50823346,2349.46688
-90.05777637,-90.31815913,-86.70804392,2349.468133
-90.2341246,-90.54480126,-86.90779694,2349.46941
-90.44054755,-90.7738125,-87.10749185,2349.470709
-90.66439596,-91.00506007,-87.30712797,2349.472031
-90.88356632,-91.23846563,-87.50670461,2349.473375
-91.09914909,-91.4739706,-87.7062211,2349.474741
-91.33131766,-91.71153812,-87.90567676,2349.476127
-91.54636611,-91.95114972,-88.10507091,2349.477531
-91.81503218,-92.1927996,-88.30440288,2349.478952
-92.11326046,-92.43649093,-88.50367198,2349.480388
-92.38945066,-92.68223246,-88.70287755,2349.481839
-92.71449321,-92.93003726,-88.90201889,2349.483303
-93.02687558,-93.17991636,-89.10109534,2349.484778
-93.32793904,-93.43187131,-89.30010621,2349.486262
-93.67648087,-93.68589731,-89.49905083,2349.487754
-94.04200107,-93.94198643,-89.69792851,2349.489251
-94.5312769,-94.20012514,-89.89673859,2349.490752
-94.97875563,-93.4194969,-90.09548038,2349.492254
-95.53025277,-92.75964934,-90.2941532,2349.493745
-96.05373615,-92.34263989,-90.49275638,2349.495237
-96.69276403,-92.07887322,-90.69128924,2349.496729
-97.40528852,-91.93034266,-90.88975109,2349.498221
-98.1924655,-91.86838589,-91.08814127,2349.499712
-99.09723704,-91.87142208,-91.2864591,2349.501204
-100.0768464,-91.92322065,-91.48470388,2349.502696
-101.1653595,-92.01158596,-91.68287496,2349.504188
-102.4194035,-92.1273598,-91.88097164,2349.50568
-103.8492286,-92.26366848,-92.07899326,2349.507172
-105.4899149,-92.41535463,-92.27693913,2349.508664
-107.4021897,-92.57854979,-92.47480857,2349.510156
-109.6126927,-92.75035277,-92.67260092,2349.511648
-112.1942446,-92.92858813,-92.87031548,2349.51314
-115.2857036,-93.11162475,-93.06795158,2349.514632
-119.0480536,-93.29823972,-93.26550855,2349.516124
-123.6309485,-93.48751618,-93.4629857,2349.517616
-129.5993089,-93.67876673,-93.66038235,2349.519108
-137.5944308,-93.87147597,-93.85769784,2349.5206
-149.1688919,-94.06525744,-94.05493148,2349.522092
-167.9648958,-94.25982132,-94.25208259,2349.523584
-202.4406913,-94.45495023,-94.44915049,2349.525077
-265.5121832,-94.65048109,-94.64613451,2349.526569
-339.8607258,-94.84629147,-94.84303397,2349.528061
-336.6171811,-95.0422895,-95.03984819,2349.529553
-264.000694,-95.23840611,-95.23657649,2349.531046
-201.7180256,-95.43458938,-95.43321819,2349.532538
-184.9312923,-95.63080025,-95.62977263,2349.53403
-184.2521575,-95.82700925,-95.8262391,2349.535523
-192.0379013,-96.02319413,-96.02261695,2349.537015
-210.5100186,-96.21933805,-96.2189055,2349.538508
-246.2831709,-96.41542823,-96.41510405,2349.54
-245.4364769,-96.61145489,-96.61121194,2349.541493
-279.3935871,-96.80741057,-96.80722849,2349.542985
-310.4581151,-97.00328947,-97.00315302,2349.544478
-352.602158,-97.19908711,-97.19898485,2349.54597
-346.9429959,-97.39479994,-97.3947233,2349.547463
-327.9114212,-97.59042514,-97.5903677,2349.548955
-334.0936305,-97.78596041,-97.78591736,2349.550448
-349.4794684,-97.98140388,-97.98137162,2349.551941
-358.4961822,-98.17675396,-98.17672979,2349.553433
-358.5808886,-98.3720093,-98.37199118,2349.554926
-358.6021089,-98.56716872,-98.56715514,2349.556419
-358.6002006,-98.76223115,-98.76222097,2349.557912
-358.6219551,-98.95719563,-98.957188,2349.559404
-358.634768,-99.15206126,-99.15205555,2349.560897
-358.6253683,-99.34682732,-99.34682294,2349.56239
-10.81656275,-99.54149273,-99.5414895,2349.56239
