AnalyticalID,Date,StartTime,Time,Name,Xp626_L2_mean,Xp626_L2_std,mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,cycle_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std,Dp17O_corr
IAEA603-31,23-May-23,10:57:00,10:56:58,230523_105658,420700.3004,729.7711473,3314.978625,671.6114548,27.9730946,0.043341119,-0.108487604,0.14716491,296.7713886,0.025667239,-0.000267725,0.002041699,11,0,42.89531275,0.345375517,27.74473343,0.193822692,27.9121614,0.268271638,14.53107404,0.110615079,-0.20654718,0.066732098,-0.181021845
IAEA603-33,24-May-23,10:37:00,10:36:46,230524_103646,389848.8807,22030.15132,-26284.82826,21767.2705,28.15859785,0.049748467,-0.052535902,0.047567466,296.6940789,0.002974336,0.000268898,0.000943398,25,1,35.49280195,0.091516257,7.385910302,0.169056764,6.643756141,0.414311648,3.705733412,0.063559099,0.197830169,0.202028741,-0.004563008
IAEA603-35,4-Oct-23,10:53:00,10:54:13,231004_105413,445178.6583,236.7671723,29105.4665,175.5873573,28.43122027,0.058558723,-0.043738906,0.077130598,296.6702726,0.000637136,-2.54E-05,0.000551633,9,0,42.56389636,0.028654499,27.5685795,0.020788294,28.24818919,0.118027108,14.61511202,0.091630366,-0.299931872,0.044447813,-0.07581978
IAEA603-36,17-Oct-23,10:17:00,10:17:12,231017_101712,375503.6771,211.1723434,-40583.66608,162.6954192,28.35970173,0.063474882,-0.071219006,0.084357845,296.6810681,0.000604426,0.000272896,0.000560173,14,0,42.88487903,0.037349634,29.01358219,0.029643892,27.99060925,0.109050212,15.01318862,0.054415947,0.234146931,0.024753201,-0.078347298
IAEA603-37,20-Oct-23,14:54:00,14:54:45,231020_145445,378088.0544,619.4562816,-38256.22174,603.9015038,28.27432462,0.030058857,-0.069772618,0.031168707,296.7036593,0.001669901,-0.000717509,0.000620113,17,0,42.8362239,0.05952517,27.65540683,0.048571142,26.88982861,0.085050009,14.3256598,0.067206129,0.127830297,0.028409335,-0.16674261
IAEA603-38,22-Oct-23,10:25:00,10:25:26,231022_102526,412209.3057,182.7867235,-4489.685758,211.7034579,28.28767836,0.046780204,-0.080310176,0.05591047,296.7122057,0.001272137,-0.000842463,0.000683724,11,0,42.91130555,0.0812558,27.61913465,0.04449781,27.50968296,0.039033241,14.39100062,0.035662693,-0.134111985,0.032776,-0.168682566
IAEA603-39,26-Oct-23,10:01:00,10:01:53,231026_100153,401036.7061,703.4988077,-15746.92672,697.9193546,28.28590998,0.034533154,-0.04942367,0.036522279,296.7149481,0.001077484,-7.03E-05,0.000659081,10,1,42.90812642,0.050797386,27.74038745,0.079316911,27.39040139,0.069513327,14.42668545,0.040135489,-0.03544648,0.018148024,-0.156697816
IAEA603-42,6-Feb-24,11:22:00,11:22:42,240206_112242,439753.0886,150.4641946,22523.78178,111.9581801,28.35662066,0.038347833,-0.11193906,0.062239035,296.7837912,0.001020458,0.000339779,0.000564412,8,0,41.39573754,0.039562738,26.09507077,0.031576608,26.50009868,0.05318188,13.71173627,0.041218181,-0.280315829,0.032881964,-0.106882709
IAEA603-40,17-Jan-24,11:27:00,11:26:57,240117_112657,412222.5518,381.5637556,-4014.617673,377.5350156,28.19433562,0.042886314,-0.058967945,0.035283241,296.7399818,0.000381447,0.000233415,0.000203146,6,0,42.67266154,0.014756719,26.21526079,0.013317927,26.13551601,0.049673049,13.70790068,0.035125619,-0.091651775,0.016247291,-0.122564331
IAEA603-43,9-Feb-24,23:16:00,23:16:59,240209_231659,416487.384,80.66468748,-827.6245793,83.86068977,28.24713376,0.034947766,-0.075680014,0.045751641,296.7743784,0.000656672,4.85E-05,0.001115896,6,0,42.0990089,0.025345472,26.475832,0.019109716,26.46625462,0.031137263,13.80220962,0.039779993,-0.17197282,0.027756392,-0.17834553
