mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,sample_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean
-8692.6386,6397.08595,28.1649982,0.04210339,-0.0021669,0.04283086,296.742543,0.00377715,-0.0009268,0.00066957,15,1,42.6336395,0.06155972,27.6542054,0.04643464,27.518912,0.11673397,14.4971149,0.03767623,-0.032870637
-26294.375,1402.25214,28.1543215,0.02973047,-0.0150609,0.03052048,296.75929,0.00054383,-7.38E-05,0.00042818,12,0,42.655951,0.0510755,27.337439,0.01835737,26.8641809,0.04403394,14.2600227,0.06469165,0.075735199
-28357.194,833.818809,28.1734892,0.08093795,-0.0096209,0.06968406,296.759098,0.0006032,0.00015851,0.00071393,13,0,42.7492269,0.03479943,27.6783579,0.0459296,26.9382821,0.09954173,14.3222561,0.07259371,0.09884317
29486.0218,1337.82213,28.1515836,0.04112713,-0.0354367,0.04085248,296.753768,0.00151615,-0.0004861,0.00074702,13,0,42.8174495,0.02518077,27.0292544,0.03078133,27.5446286,0.06136543,14.2274706,0.05388645,-0.316093317
12109.3735,991.727841,28.1990011,0.04711677,0.01115381,0.05405926,296.754886,0.00265808,-0.0003635,0.000558,12,0,42.804638,0.03423054,26.9669584,0.0446082,27.2172292,0.04125331,14.1698903,0.04802304,-0.200806739
