ID,dateTimeMeasured,SampleName,d17O,d17OError,d18O,d18OError,Dp17O,Dp17OError,nSamCycles,nSamPoints,nRefPoints,pCO2Ref,pCO2Ref_error,pCO2Sam,pCO2Sam_error,pCO2Mismatch,pCO2Mismatch_error,PCellRef,PCellRef_error,PCellSam,PCellSam_error,PCellMismatch,PCellMismatch_error,TCellSam,TCellSam_error,TCellRef,TCellRef_error,TCellMismatch,TCellMismatch_error,measurementPeriod
14679,2023-03-15 18:16:11,heavyVsRef,39.678,0.004,76.789,0.011,-152.7,4.2,10.0,2396.0,2732.0,419.111,0.31391,418.949,0.51642,-0.15317,0.27443,42.1041,0.00174,42.1055,0.00089,0.00129,0.00131,24.536,0.00202,24.536,0.00202,0.0,0.00034,2023-03-15 to 2023-03-20
14682,2023-03-16 02:35:58,heavyVsRef,39.664,0.015,77.023,0.024,-280.6,4.0,10.0,2440.0,2817.0,418.986,0.34678,401.377,0.64186,-17.6238,0.44633,42.1035,0.00106,42.1046,0.00095,0.00108,0.00077,24.534,0.00224,24.534,0.00224,-7e-05,0.00027,2023-03-15 to 2023-03-20
14687,2023-03-16 16:38:16,heavyVsRef,39.667,0.009,76.783,0.009,-159.4,6.1,10.0,2336.0,2637.0,419.353,0.33451,419.078,0.47574,-0.28375,0.19365,42.1152,0.00089,42.1173,0.00069,0.00208,0.00062,24.5312,0.00206,24.5312,0.00206,8e-05,0.00022,2023-03-15 to 2023-03-20
14692,2023-03-17 06:12:39,heavyVsRef,39.658,0.009,76.615,0.013,-85.8,3.8,10.0,2290.0,2636.0,419.697,0.3117,437.049,0.44945,17.3369,0.14983,42.0984,0.00155,42.0998,0.0007,0.00126,0.00133,24.5295,0.00207,24.5295,0.00207,3e-05,0.00042,2023-03-15 to 2023-03-20
14693,2023-03-17 08:55:34,heavyVsRef,39.653,0.005,76.795,0.01,-179.4,3.8,10.0,2253.0,2594.0,419.933,0.31025,419.636,0.44858,-0.29993,0.08571,42.0832,0.00159,42.0846,0.00085,0.0013,0.00095,24.5294,0.00194,24.5294,0.00194,1e-05,0.00033,2023-03-15 to 2023-03-20
14697,2023-03-17 16:55:05,heavyVsRef,39.653,0.007,76.999,0.009,-279.3,5.1,10.0,2240.0,2573.0,419.846,0.29583,401.797,0.41154,-18.0576,0.15633,42.0926,0.0017,42.0932,0.00125,0.0005,0.00127,24.5349,0.00207,24.5349,0.00207,-0.00016,0.00033,2023-03-15 to 2023-03-20
14699,2023-03-17 22:15:06,heavyVsRef,39.665,0.006,76.581,0.009,-62.2,3.8,10.0,2210.0,2607.0,419.675,0.32827,436.871,0.46928,17.17,0.20901,42.0811,0.00138,42.0822,0.0013,0.00121,0.00175,24.5327,0.00205,24.5327,0.00205,-0.00017,0.0004,2023-03-15 to 2023-03-20
14700,2023-03-18 00:55:44,heavyVsRef,39.674,0.014,76.805,0.013,-163.8,9.6,10.0,2244.0,2598.0,419.751,0.29616,419.286,0.44518,-0.48021,0.17216,42.1065,0.00136,42.1069,0.00086,0.00022,0.00076,24.5318,0.002,24.5318,0.002,0.00031,0.00033,2023-03-15 to 2023-03-20
14703,2023-03-18 06:19:07,heavyVsRef,39.66,0.007,76.78,0.006,-165.3,7.2,10.0,2296.0,2615.0,419.745,0.30121,419.477,0.45215,-0.25849,0.22021,42.1077,0.00131,42.1078,0.00106,0.00012,0.0011,24.5304,0.00198,24.5304,0.00198,-8e-05,0.00022,2023-03-15 to 2023-03-20
14705,2023-03-18 11:46:49,heavyVsRef,39.662,0.005,76.802,0.004,-173.7,4.0,10.0,2320.0,2647.0,419.593,0.28461,419.398,0.45393,-0.20007,0.10943,42.1109,0.001,42.1124,0.001,0.00159,0.00114,24.5307,0.00198,24.5307,0.00198,0.00018,0.00045,2023-03-15 to 2023-03-20
14706,2023-03-18 14:30:08,heavyVsRef,39.678,0.006,77.0,0.003,-255.6,5.0,10.0,2319.0,2622.0,419.751,0.28997,401.827,0.43572,-17.9202,0.10166,42.1151,0.0013,42.1161,0.001,0.00087,0.00099,24.5314,0.00206,24.5314,0.00206,-0.00012,0.00015,2023-03-15 to 2023-03-20
14707,2023-03-18 17:12:58,heavyVsRef,39.653,0.008,76.606,0.008,-86.0,5.6,10.0,2304.0,2653.0,419.826,0.29081,437.046,0.46583,17.2229,0.17878,42.1038,0.00147,42.1046,0.00104,0.00078,0.00135,24.5336,0.00198,24.5336,0.00198,-2e-05,0.00049,2023-03-15 to 2023-03-20
14708,2023-03-18 19:56:21,heavyVsRef,39.657,0.008,76.805,0.008,-180.8,4.2,10.0,2333.0,2652.0,419.632,0.29085,419.476,0.44866,-0.16082,0.069,42.0982,0.00148,42.0987,0.00103,0.0004,0.00167,24.5339,0.0019,24.5339,0.0019,9e-05,0.00028,2023-03-15 to 2023-03-20
14710,2023-03-19 01:22:11,heavyVsRef,39.663,0.007,76.812,0.01,-178.4,3.7,10.0,2349.0,2614.0,419.429,0.30245,419.155,0.4585,-0.29114,0.16241,42.1302,0.00089,42.1315,0.00069,0.00125,0.00067,24.533,0.00199,24.533,0.00199,7e-05,0.00035,2023-03-15 to 2023-03-20
14712,2023-03-19 06:48:34,heavyVsRef,39.668,0.006,76.822,0.013,-178.0,3.7,10.0,2321.0,2634.0,419.016,0.29639,418.882,0.44917,-0.13825,0.11452,42.1031,0.00119,42.1051,0.00077,0.00197,0.00061,24.5325,0.002,24.5325,0.002,0.00011,0.00027,2023-03-15 to 2023-03-20
