Sample,mean_dp17O_L2,std_dp17O_L2,mean_dp18O_L2,std_dp18O_L2,mean_d18O_L1,std_d18O_L1,mean_Dp17O,std_Dp17O,mean_CO2_L2,std_CO2_L2,mean_CO2_L1,std_CO2_L1,length_Dp17O,mean_Pressure,std_Pressure,mean_Dp17OL2,std_Dp17OL2
Processed_TILDAS_ZERO_ENRICHMENT_17Feb_2025_386ppm.txt,0.050527827,0.046116269,-0.258311037,0.026265514,0.344326143,0.047440874,-0.098366745,0.039693352,383.9502857,1.107764584,388.0747143,1.13089491,14,28.17415714,0.033519976,0.186916055,0.042763847
Processed_TILDAS_ZERO_ENRICHMENT_17Feb_2025_406ppm.txt,0.043985644,0.029087135,-0.098884772,0.049687498,0.230409048,0.034074884,-0.077841163,0.034149535,398.3976667,0.609072108,402.7171429,0.626472847,21,28.21241905,0.040137534,0.096196804,0.035951698
Processed_TILDAS_ZERO_ENRICHMENT_17Feb_2025_421ppm.txt,0.021427374,0.021959508,0.04581352,0.031543061,0.027152352,0.018642511,-0.043181491,0.021289663,415.7507368,0.776996342,420.3328947,0.793833588,19,28.23865263,0.033393202,-0.002762165,0.025052861
Processed_TILDAS_IAEA603_2.5min_20Feb_2025.txt,14.47083307,0.029352638,27.58713679,0.028944392,27.92763571,0.070839793,-0.133239555,0.018557802,416.0565714,0.974752254,420.8643571,1.012550976,14,28.17931429,0.030771887,-0.095175155,0.018650455
Processed_TILDAS_IAEA603_2.5min_10Mar_2025.txt,14.44269981,0.032269169,27.72758386,0.06089072,27.83754545,0.062568097,-0.09854817,0.012269121,433.8462727,1.652582227,438.5662727,1.6893323,11,29.4066,0.066143798,-0.19746447,0.01384582
Processed_TILDAS_IAEA603_2.5min_10Mar_2025.txt,14.3332846,0.053634586,26.62121201,0.081551704,28.21923333,0.061623687,-0.205198627,0.021088554,358.3398333,1.797584684,361.92525,1.847814194,12,29.56408333,0.054737935,0.277284657,0.028178962
